neighbourhood,review_scores_location
Allerton,9.636363636363637
Alphabet City,9.695067264573991
Annadale,10.0
Arden Heights,10.0
Arrochar,8.0
Astoria,9.624768946395564
Bath Beach,9.714285714285714
Battery Park City,10.0
Bay Ridge,9.721649484536082
Baychester,9.296296296296296
Bayside,9.45
Bedford Park,9.272727272727273
Bedford-Stuyvesant,9.20242656449553
Belmont,9.25
Bensonhurst,8.866666666666667
Bergen Beach,9.0
Boerum Hill,9.891566265060241
Borough Park,9.0
Brighton Beach,9.869565217391305
Bronxdale,9.857142857142858
Brooklyn,9.493334906216822
Brooklyn Heights,9.941176470588236
Brooklyn Navy Yard,9.076923076923077
Brownsville,8.928571428571429
Bushwick,9.394904458598726
Canarsie,9.266666666666667
Carroll Gardens,9.771428571428572
Castle Hill ,9.75
Castleton Corners,10.0
Chelsea,9.866498740554157
Chinatown,9.67716535433071
City Island,10.0
Civic Center,9.833333333333334
Claremont,9.6
Clinton Hill,9.608843537414966
Cobble Hill,9.666666666666666
College Point,9.666666666666666
Columbia Street Waterfront,9.875
Concord,9.333333333333334
Concourse,9.08
Concourse Village,9.375
Coney Island,9.416666666666666
Corona,9.41025641025641
Country Club,9.0
Crotona,9.0
Crown Heights,9.297794117647058
DUMBO,9.9375
Ditmars / Steinway,9.622641509433961
Dongan Hills,10.0
Downtown Brooklyn,9.741935483870968
Dyker Heights,9.25
East Elmhurst,9.657142857142857
East Flatbush,9.046052631578947
East Harlem,9.163987138263666
East New York,8.810126582278482
East Village,9.811355311355312
Eastchester,9.25
Edenwald,9.8
Elm Park,9.0
Elmhurst,9.301369863013699
Eltingville,10.0
Financial District,9.869257950530036
Flatbush,9.323529411764707
Flatiron District,9.914634146341463
Flatlands,9.23076923076923
Flushing,9.294117647058824
Fordham,9.214285714285714
Forest Hills,9.649122807017545
Fort Greene,9.837078651685394
Fort Hamilton,8.0
Fresh Meadows,9.9
Glendale,9.166666666666666
Gowanus,9.658823529411764
Gramercy Park,9.763157894736842
Graniteville,9.0
Grant City,10.0
Grasmere,9.636363636363637
Gravesend,9.375
Great Kills,9.714285714285714
Greenpoint,9.649700598802395
Greenwich Village,9.952380952380953
Greenwood Heights,9.55952380952381
Grymes Hill,9.555555555555555
Hamilton Heights,9.291139240506329
Harlem,9.36559940431869
Hell's Kitchen,9.858156028368795
Highbridge,8.95
Hillcrest,9.666666666666666
Howard Beach,9.5
Hudson Square,10.0
Huguenot,10.0
Hunts Point,9.0
Inwood,9.216666666666667
Jackson Heights,9.596153846153847
Jamaica,9.278745644599303
Kensington,9.45
Kew Garden Hills,9.263157894736842
Kingsbridge,9.857142857142858
Kingsbridge Heights,8.6
Kips Bay,9.67251461988304
Lefferts Garden,9.392307692307693
Lighthouse HIll,10.0
Lindenwood,9.5
Little Italy,10.0
Long Island City,9.8
Longwood,9.25
Lower East Side,9.680851063829786
Manhattan,9.710394736842105
Manhattan Beach,9.818181818181818
Marble Hill,9.333333333333334
Mariners Harbor,8.666666666666666
Maspeth,8.975
Meatpacking District,10.0
Meiers Corners,9.5
Melrose,8.666666666666666
Middle Village,9.6875
Midland Beach,8.0
Midtown,9.811702127659574
Midtown East,9.813229571984436
Midwood,9.452380952380953
Mill Basin,9.0
Morningside Heights,9.712328767123287
Morris Heights,9.375
Morris Park,9.857142857142858
Morrisania,9.2
Mott Haven,9.0
Murray Hill,9.857142857142858
New Brighton,10.0
New Dorp Beach,10.0
New Springville,9.0
Noho,10.0
Nolita,9.958333333333334
Norwood,9.0
Oakwood,10.0
Ozone Park,9.0
Park Slope,9.939622641509434
Park Versailles,9.142857142857142
Parkchester,8.933333333333334
Pelham Bay,9.857142857142858
Port Morris,9.052631578947368
Port Richmond,9.714285714285714
Prospect Heights,9.884615384615385
Queens,9.511957484499558
Randall Manor,9.0
Red Hook,9.0
Rego Park,9.59375
Richmond Hill,9.313725490196079
Ridgewood,9.27450980392157
Riverdale,9.555555555555555
Roosevelt Island,9.557377049180328
Rosebank,9.75
Sea Gate,10.0
Sheepshead Bay,9.459016393442623
Silver Lake,10.0
Soho,9.951807228915662
Soundview,9.454545454545455
South Beach,9.625
South Ozone Park,9.3125
South Street Seaport,9.666666666666666
St. George,9.782608695652174
Stapleton,9.125
Staten Island,9.46551724137931
Sunnyside,9.648809523809524
Sunset Park,9.34862385321101
The Bronx,9.219827586206897
The Rockaways,9.389473684210527
Throgs Neck,9.818181818181818
Times Square/Theatre District,9.894736842105264
Todt Hill,10.0
Tompkinsville,9.571428571428571
Tottenville,9.666666666666666
Tremont,9.11111111111111
Tribeca,9.973684210526315
Union Square,10.0
University Heights,9.166666666666666
Upper East Side,9.795121951219512
Upper West Side,9.82484076433121
Utopia,9.555555555555555
Van Nest,8.666666666666666
Wakefield,9.5
Washington Heights,9.380239520958083
West Brighton,9.285714285714286
West Farms,9.0
West Village,9.962406015037594
Westchester Village,9.555555555555555
Westerleigh,10.0
Whitestone,9.8
Williamsbridge,9.0
Williamsburg,9.75729537366548
Windsor Terrace,9.952380952380953
Woodhaven,9.41304347826087
Woodlawn,10.0
Woodside,9.727272727272727
